replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20560732,60.0,0.016666666666666666,900,alf_delta_zero,0.0,9979,20000,0.49895,0.4920213631820236,0.5058790400936942,0.06823907603703501,7.311793022068582
0,20560732,60.0,0.016666666666666666,900,alf_delta_one,1.0,1949,20000,0.09745,0.09341680308572564,0.10163780514304419,0.06823907603703501,1.42806740154441
0,20560732,60.0,0.016666666666666666,900,lof_bayes_optimal,,685,20000,0.03425,0.031817543832310356,0.03686133775395111,0.06823907603703501,0.5019118368691231
0,20560732,60.0,0.016666666666666666,950,alf_sqrt_epsilon,0.12909944487358055,1317,20000,0.06585,0.06249537678865831,0.06937136811885734,0.06823907603703501,0.9649896192067666
0,20560732,60.0,0.016666666666666666,950,alf_0.7_over_log,0.1709675356731806,997,20000,0.04985,0.046919284739933544,0.052953605321377446,0.06823907603703501,0.7305198559978331
0,20560732,60.0,0.016666666666666666,950,alf_epsilon_squared,0.0002777777777777778,8815,20000,0.44075,0.43388133533769757,0.44764142093495074,0.06823907603703501,6.458909258396087
0,20560732,60.0,0.016666666666666666,950,alf_delta_zero,0.0,10005,20000,0.50025,0.49332109912588573,0.5071788048560862,0.06823907603703501,7.330843690329308
0,20560732,60.0,0.016666666666666666,950,alf_delta_one,1.0,1977,20000,0.09885,0.09479033943970065,0.10306373108811208,0.06823907603703501,1.4485835058251915
0,20560732,60.0,0.016666666666666666,950,lof_bayes_optimal,,671,20000,0.03355,0.03114264167155409,0.036136508765185926,0.06823907603703501,0.4916537847287323
0,20560732,60.0,0.016666666666666666,1000,alf_sqrt_epsilon,0.12909944487358055,1305,20000,0.06525,0.06191008040460846,0.06875689494617453,0.06823907603703501,0.9561970030864315
0,20560732,60.0,0.016666666666666666,1000,alf_0.7_over_log,0.1709675356731806,994,20000,0.0497,0.04677361416941829,0.052799333502709545,0.06823907603703501,0.7283217019677494
0,20560732,60.0,0.016666666666666666,1000,alf_epsilon_squared,0.0002777777777777778,8819,20000,0.44095,0.4340809668023385,0.4478417126558875,0.06823907603703501,6.461840130436199
0,20560732,60.0,0.016666666666666666,1000,alf_delta_zero,0.0,10073,20000,0.50365,0.4967206299236674,0.5105779682131232,0.06823907603703501,7.380668515011207
0,20560732,60.0,0.016666666666666666,1000,alf_delta_one,1.0,2072,20000,0.1036,0.0994524262724427,0.10789981991283702,0.06823907603703501,1.5181917167778438
0,20560732,60.0,0.016666666666666666,1000,lof_bayes_optimal,,653,20000,0.03265,0.03027533794131694,0.035204158160324045,0.06823907603703501,0.4784648605482297
0,20660735,70.0,0.014285714285714285,900,alf_sqrt_epsilon,0.11952286093343936,1170,20000,0.0585,0.05533146220058759,0.06183810563695279,0.0606927891721337,0.9638706804870242
0,20660735,70.0,0.014285714285714285,900,alf_0.7_over_log,0.16476421888667078,847,20000,0.04235,0.039645748159970705,0.04523002244218186,0.0606927891721337,0.6977764669850508
0,20660735,70.0,0.014285714285714285,900,alf_epsilon_squared,0.0002040816326530612,8742,20000,0.4371,0.43023826014703026,0.4439858979888277,0.0606927891721337,7.20184400753638
0,20660735,70.0,0.014285714285714285,900,alf_delta_zero,0.0,9981,20000,0.49905,0.4921213412074032,0.5059790236611035,0.0606927891721337,8.222558343539307
0,20660735,70.0,0.014285714285714285,900,alf_delta_one,1.0,2030,20000,0.1015,0.09739094247591573,0.10576211026079965,0.0606927891721337,1.6723568216997087
0,20660735,70.0,0.014285714285714285,900,lof_bayes_optimal,,599,20000,0.02995,0.027676504481542505,0.03240402861480145,0.0606927891721337,0.493468835565579
0,20660735,70.0,0.014285714285714285,950,alf_sqrt_epsilon,0.11952286093343936,1234,20000,0.0617,0.05844880600362469,0.06511953280315662,0.0606927891721337,1.0165952305307588
0,20660735,70.0,0.014285714285714285,950,alf_0.7_over_log,0.16476421888667078,897,20000,0.04485,0.0420678805221547,0.04780692989971733,0.0606927891721337,0.7389675217067185
0,20660735,70.0,0.014285714285714285,950,alf_epsilon_squared,0.0002040816326530612,8722,20000,0.4361,0.429240223296999,0.4429843189109712,0.0606927891721337,7.185367585647713
0,20660735,70.0,0.014285714285714285,950,alf_delta_zero,0.0,9909,20000,0.49545,0.48852230687304754,0.502379440655063,0.0606927891721337,8.163243224740105
0,20660735,70.0,0.014285714285714285,950,alf_delta_one,1.0,1972,20000,0.0986,0.09454504623208046,0.10280912031376033,0.0606927891721337,1.624575198222574
0,20660735,70.0,0.014285714285714285,950,lof_bayes_optimal,,590,20000,0.0295,0.027243843229613075,0.03193686269918137,0.0606927891721337,0.4860544457156788
0,20660735,70.0,0.014285714285714285,1000,alf_sqrt_epsilon,0.11952286093343936,1263,20000,0.06315,0.05986220150429866,0.06660558039791994,0.0606927891721337,1.040486042269326
0,20660735,70.0,0.014285714285714285,1000,alf_0.7_over_log,0.16476421888667078,934,20000,0.0467,0.043861840208422015,0.049712259680042434,0.0606927891721337,0.7694489022007526
0,20660735,70.0,0.014285714285714285,1000,alf_epsilon_squared,0.0002040816326530612,8991,20000,0.44955,0.4426661885825862,0.45645318785547473,0.0606927891721337,7.406975460050286
0,20660735,70.0,0.014285714285714285,1000,alf_delta_zero,0.0,9941,20000,0.49705,0.49012183334991416,0.5039792996628167,0.0606927891721337,8.189605499761972
0,20660735,70.0,0.014285714285714285,1000,alf_delta_one,1.0,1928,20000,0.0964,0.09238682126646657,0.10056819023802109,0.0606927891721337,1.5883270700675065
0,20660735,70.0,0.014285714285714285,1000,lof_bayes_optimal,,652,20000,0.0326,0.030227168846868373,0.03515234645837823,0.0606927891721337,0.5371313535705468
0,20760738,80.0,0.0125,900,alf_sqrt_epsilon,0.11180339887498948,1126,20000,0.0563,0.05318986677259335,0.0595805460235939,0.054775332933423515,1.027834921029684
0,20760738,80.0,0.0125,900,alf_0.7_over_log,0.1597434379930681,811,20000,0.04055,0.037903440039552205,0.043373021892402344,0.054775332933423515,0.7402967326421613
0,20760738,80.0,0.0125,900,alf_epsilon_squared,0.00015625000000000003,8728,20000,0.4364,0.4295396313707,0.44328479561563655,0.054775332933423515,7.967089867448562
0,20760738,80.0,0.0125,900,alf_delta_zero,0.0,9896,20000,0.4948,0.4878725195070315,0.5017294776679521,0.054775332933423515,9.033263213596582
0,20760738,80.0,0.0125,900,alf_delta_one,1.0,2026,20000,0.1013,0.09719463936115892,0.10555849018997891,0.054775332933423515,1.8493726021368913
0,20760738,80.0,0.0125,900,lof_bayes_optimal,,550,20000,0.0275,0.025322698790526222,0.02985877528249264,0.054775332933423515,0.5020508051210711
0,20760738,80.0,0.0125,950,alf_sqrt_epsilon,0.11180339887498948,1231,20000,0.06155,0.05830262219787455,0.0649657742197236,0.054775332933423515,1.1236809838255246
0,20760738,80.0,0.0125,950,alf_0.7_over_log,0.1597434379930681,838,20000,0.0419,0.039210039149118685,0.044765904285484374,0.054775332933423515,0.7649428630753775
0,20760738,80.0,0.0125,950,alf_epsilon_squared,0.00015625000000000003,8759,20000,0.43795,0.4310866137850053,0.44483721788955727,0.054775332933423515,7.995387276464477
0,20760738,80.0,0.0125,950,alf_delta_zero,0.0,10034,20000,0.5017,0.4947708598488635,0.5086284872285459,0.054775332933423515,9.159232324699689
0,20760738,80.0,0.0125,950,alf_delta_one,1.0,1903,20000,0.09515,0.09116084619287317,0.09929464540175474,0.054775332933423515,1.7370957857189062
0,20760738,80.0,0.0125,950,lof_bayes_optimal,,553,20000,0.02765,0.02546667897694022,0.03001473748526182,0.054775332933423515,0.5047892640580952
0,20760738,80.0,0.0125,1000,alf_sqrt_epsilon,0.11180339887498948,1164,20000,0.0582,0.05503934860250306,0.061530334456670985,0.054775332933423515,1.0625220675653215
