seed,inv_epsilon,epsilon,checkpoint,filter,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error,action_0_count,action_1_count,action_2_count,action_3_count
2026072303,60.0,0.016666666666666666,1000,wrong_action_control,16341,20000,0.81705,0.8116310255936199,0.8223472043432043,0.06823907603703501,11.97334500186619,4999354,4999548,5000359,5000739
2026072303,60.0,0.016666666666666666,1000,action_conditioned_lof_bayes,1832,20000,0.0916,0.08768025749828812,0.09567659755233815,0.06823907603703501,1.3423393943711437,4999354,4999548,5000359,5000739
2026072303,70.0,0.014285714285714285,900,time_varying_alf_sqrt_epsilon,1877,20000,0.09385,0.0898860593166654,0.09796993157170839,0.0606927891721337,1.5463121942514055,4498335,4501840,4498414,4501411
2026072303,70.0,0.014285714285714285,900,invalid_alf_epsilon_squared,15161,20000,0.75805,0.7520654786538786,0.7639354115375657,0.0606927891721337,12.489951612704079,4498335,4501840,4498414,4501411
2026072303,70.0,0.014285714285714285,900,wrong_action_control,16414,20000,0.8207,0.8153221946601165,0.8259546334134981,0.0606927891721337,13.522199444029072,4498335,4501840,4498414,4501411
2026072303,70.0,0.014285714285714285,900,action_conditioned_lof_bayes,1590,20000,0.0795,0.07583112833698404,0.08333037398619995,0.0606927891721337,1.3098755401490327,4498335,4501840,4498414,4501411
2026072303,70.0,0.014285714285714285,950,time_varying_alf_sqrt_epsilon,1937,20000,0.09685,0.0928282239925572,0.10102661467947997,0.0606927891721337,1.5957414599174067,4748366,4751115,4748451,4752068
2026072303,70.0,0.014285714285714285,950,invalid_alf_epsilon_squared,15297,20000,0.76485,0.758921968898433,0.7706763096026483,0.0606927891721337,12.601991281547017,4748366,4751115,4748451,4752068
2026072303,70.0,0.014285714285714285,950,wrong_action_control,16321,20000,0.81605,0.8106198865117132,0.821358727497223,0.0606927891721337,13.445584082246771,4748366,4751115,4748451,4752068
2026072303,70.0,0.014285714285714285,950,action_conditioned_lof_bayes,1735,20000,0.08675,0.08292804548549447,0.09073067231487598,0.0606927891721337,1.429329598841869,4748366,4751115,4748451,4752068
2026072303,70.0,0.014285714285714285,1000,time_varying_alf_sqrt_epsilon,1886,20000,0.0943,0.09032730522127377,0.09842851283464951,0.0606927891721337,1.5537265841013055,4998171,5001362,4997737,5002730
2026072303,70.0,0.014285714285714285,1000,invalid_alf_epsilon_squared,15326,20000,0.7663,0.7603842841024889,0.7721134374940296,0.0606927891721337,12.625882093285583,4998171,5001362,4997737,5002730
2026072303,70.0,0.014285714285714285,1000,wrong_action_control,16317,20000,0.81585,0.8104176658527179,0.8211610249706408,0.0606927891721337,13.442288797869036,4998171,5001362,4997737,5002730
2026072303,70.0,0.014285714285714285,1000,action_conditioned_lof_bayes,1654,20000,0.0827,0.07896249163341164,0.08659778165901326,0.0606927891721337,1.3626000901927673,4998171,5001362,4997737,5002730
2026072303,80.0,0.0125,900,time_varying_alf_sqrt_epsilon,1729,20000,0.08645,0.08263421139657344,0.0904246216254307,0.054775332933423515,1.5782651673715127,4499791,4498689,4502184,4499336
2026072303,80.0,0.0125,900,invalid_alf_epsilon_squared,15094,20000,0.7547,0.7486884022723054,0.760613774560715,0.054775332933423515,13.778099731813542,4499791,4498689,4502184,4499336
2026072303,80.0,0.0125,900,wrong_action_control,16401,20000,0.82005,0.8146648039195411,0.8253122738009463,0.054775332933423515,14.97115500871034,4499791,4498689,4502184,4499336
2026072303,80.0,0.0125,900,action_conditioned_lof_bayes,1495,20000,0.07475,0.07118634433062888,0.07847698233508808,0.054775332933423515,1.3646653702836389,4499791,4498689,4502184,4499336
2026072303,80.0,0.0125,950,time_varying_alf_sqrt_epsilon,1739,20000,0.08695,0.08312394264392473,0.0909346983420233,0.054775332933423515,1.5873933638282596,4750515,4749104,4751699,4748682
2026072303,80.0,0.0125,950,invalid_alf_epsilon_squared,15105,20000,0.75525,0.7492428139869889,0.7611591516063696,0.054775332933423515,13.788140747915962,4750515,4749104,4751699,4748682
2026072303,80.0,0.0125,950,wrong_action_control,16322,20000,0.8161,0.8106704420484963,0.8214081527568344,0.054775332933423515,14.899042256702044,4750515,4749104,4751699,4748682
2026072303,80.0,0.0125,950,action_conditioned_lof_bayes,1495,20000,0.07475,0.07118634433062888,0.07847698233508808,0.054775332933423515,1.3646653702836389,4750515,4749104,4751699,4748682
2026072303,80.0,0.0125,1000,time_varying_alf_sqrt_epsilon,1735,20000,0.08675,0.08292804548549447,0.09073067231487598,0.054775332933423515,1.5837420852455608,5000281,4999418,5001576,4998725
2026072303,80.0,0.0125,1000,invalid_alf_epsilon_squared,15023,20000,0.75115,0.7451102417970312,0.7570932984919874,0.054775332933423515,13.71328953697064,5000281,4999418,5001576,4998725
2026072303,80.0,0.0125,1000,wrong_action_control,16354,20000,0.8177,0.8122882981068087,0.8229896821831424,0.054775332933423515,14.928252485363632,5000281,4999418,5001576,4998725
2026072303,80.0,0.0125,1000,action_conditioned_lof_bayes,1491,20000,0.07455,0.07099086613710336,0.07827253734303609,0.054775332933423515,1.3610140917009403,5000281,4999418,5001576,4998725
2026072303,90.0,0.011111111111111112,900,time_varying_alf_sqrt_epsilon,1624,20000,0.0812,0.07749444825103667,0.08506640114955656,0.04999788522589184,1.6240686907683421,4498803,4501421,4499640,4500136
2026072303,90.0,0.011111111111111112,900,invalid_alf_epsilon_squared,15027,20000,0.75135,0.7453118138729848,0.7572916496016113,0.04999788522589184,15.02763560109352,4498803,4501421,4499640,4500136
2026072303,90.0,0.011111111111111112,900,wrong_action_control,16371,20000,0.81855,0.8131478466923359,0.8238298071363199,0.04999788522589184,16.371692448625943,4498803,4501421,4499640,4500136
2026072303,90.0,0.011111111111111112,900,action_conditioned_lof_bayes,1367,20000,0.06835,0.06493497921223973,0.0719308055149954,0.04999788522589184,1.3670578203696575,4498803,4501421,4499640,4500136
2026072303,90.0,0.011111111111111112,950,time_varying_alf_sqrt_epsilon,1600,20000,0.08,0.07632028827562622,0.08384102201150166,0.04999788522589184,1.6000676756338348,4748747,4751323,4749982,4749948
